дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
04.12.2019 00:00:05 04.12.2019_03:00:05 -03.33 -05.61 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.49 1012.86 4 00.10 02.44 310 06.06 08.20 00.62 304 ///// /// ///// ///// ///// /// -00.57 -02.28 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.032459 
04.12.2019 00:01:05 04.12.2019_03:01:05 -03.33 -05.60 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.50 1012.87 4 00.10 02.33 313 06.06 08.20 01.10 338 ///// /// ///// ///// ///// /// -00.57 -02.28 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.033876 
04.12.2019 00:02:05 04.12.2019_03:02:05 -03.33 -05.60 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.50 1012.87 4 00.10 02.25 313 06.06 08.20 01.39 333 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.035620 
04.12.2019 00:03:05 04.12.2019_03:03:05 -03.32 -05.59 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.51 1012.88 4 00.10 02.18 312 06.06 08.20 03.08 294 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.036273 
04.12.2019 00:04:05 04.12.2019_03:04:05 -03.32 -05.59 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.51 1012.88 4 00.10 02.23 313 06.06 08.20 04.30 311 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.037526 
04.12.2019 00:05:05 04.12.2019_03:05:05 -03.32 -05.58 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.52 1012.88 4 00.10 02.23 312 05.95 08.20 02.50 315 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.039929 
04.12.2019 00:06:05 04.12.2019_03:06:05 -03.31 -05.57 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.52 1012.88 5 00.10 02.20 312 05.95 08.20 04.56 318 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.042241 
04.12.2019 00:07:05 04.12.2019_03:07:05 -03.31 -05.57 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.52 1012.88 5 00.10 01.99 311 05.13 08.20 01.65 310 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.044735 
04.12.2019 00:08:05 04.12.2019_03:08:05 -03.31 -05.56 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.52 1012.88 5 00.10 01.81 307 05.13 08.20 00.00 000 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.046932 
04.12.2019 00:09:05 04.12.2019_03:09:05 -03.31 -05.55 -02.95 -03.37 -01.92 -03.37 -02.66 084 0988.52 1012.88 5 00.10 01.96 305 05.28 08.20 03.31 337 ///// /// ///// ///// ///// /// -00.57 -02.29 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.048144 
04.12.2019 00:10:05 04.12.2019_03:10:05 -03.30 -05.55 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.52 1012.88 5 00.10 02.20 305 05.28 08.20 03.16 285 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.050287 
04.12.2019 00:11:05 04.12.2019_03:11:05 -03.30 -05.55 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.53 1012.89 5 00.10 02.31 301 05.28 08.20 00.88 283 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.051117 
04.12.2019 00:12:05 04.12.2019_03:12:05 -03.30 -05.53 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.54 1012.90 5 00.10 02.47 299 05.28 08.20 03.20 307 ///// /// ///// ///// ///// /// -00.58 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.055390 
04.12.2019 00:13:05 04.12.2019_03:13:05 -03.30 -05.52 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.54 1012.90 5 00.10 02.68 299 05.28 08.20 04.59 324 ///// /// ///// ///// ///// /// -00.58 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.057784 
04.12.2019 00:14:05 04.12.2019_03:14:05 -03.30 -05.52 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.76 299 05.41 08.20 03.48 306 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.059724 
04.12.2019 00:15:05 04.12.2019_03:15:05 -03.30 -05.51 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.57 300 05.41 08.20 01.00 290 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.061150 
04.12.2019 00:16:05 04.12.2019_03:16:05 -03.30 -05.50 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.45 296 05.41 08.20 02.61 300 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.063530 
04.12.2019 00:17:05 04.12.2019_03:17:05 -03.30 -05.50 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.47 299 05.41 08.20 01.10 311 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.065475 
04.12.2019 00:18:05 04.12.2019_03:18:05 -03.29 -05.49 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.56 301 05.41 08.20 03.21 308 ///// /// ///// ///// ///// /// -00.58 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.068093 
04.12.2019 00:19:05 04.12.2019_03:19:05 -03.29 -05.48 -02.99 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.44 304 05.41 08.20 00.85 349 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.59 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.54 -00.57 4.071063 
04.12.2019 00:20:05 04.12.2019_03:20:05 -03.28 -05.47 -03.02 -03.37 -01.92 -03.37 -02.67 084 0988.55 1012.91 5 00.10 02.20 303 05.41 08.20 00.83 251 ///// /// ///// ///// ///// /// -00.57 -02.30 -00.51 -00.58 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.55 -00.58 4.073942 
04.12.2019 00:21:05 04.12.2019_03:21:05 -03.28 -05.46 -03.02 -03.37 -01.92 -03.37 -02.67 084 0988.54 1012.90 5 00.10 02.27 307 05.41 08.20 02.97 298 ///// /// ///// ///// ///// /// -00.58 -02.29 -00.51 -00.58 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.55 -00.58 4.076214 
