index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,cum5
35508,35509,218A0270,Tilia cordata,2019-07-06 13:00:00,0.0,,,0.12668040121669058
35509,35510,218A0270,Tilia cordata,2019-07-06 14:00:00,0.0,,,0.13242953970739466
35510,35511,218A0270,Tilia cordata,2019-07-06 15:00:00,0.0,,,0.1808192177646514
35511,35512,218A0270,Tilia cordata,2019-07-06 16:00:00,0.0,,,0.11222926212155585
35512,35513,218A0270,Tilia cordata,2019-07-06 17:00:00,0.0,,,0.11797651632900041
35513,35514,218A0270,Tilia cordata,2019-07-06 18:00:00,0.0,,,0.0
35514,35515,218A0270,Tilia cordata,2019-07-06 19:00:00,0.0,,,0.2988852950438932
35515,35516,218A0270,Tilia cordata,2019-07-06 20:00:00,0.0,,,0.3044954290122384
35516,35517,218A0270,Tilia cordata,2019-07-06 21:00:00,0.0,,,1.0075756975934624
35517,35518,218A0270,Tilia cordata,2019-07-06 22:00:00,0.0,,,1.37384420086145
35518,35519,218A0270,Tilia cordata,2019-07-06 23:00:00,0.0,,,1.3787215903279482
35519,35520,218A0270,Tilia cordata,2019-07-07 00:00:00,0.0,,,1.100146256416644
35520,35521,218A0270,Tilia cordata,2019-07-07 01:00:00,0.0,,,1.079269902744932
35521,35522,218A0270,Tilia cordata,2019-07-07 02:00:00,0.0,,,1.0843347953123958
35522,35523,218A0270,Tilia cordata,2019-07-07 03:00:00,0.0,,,1.069392784804566
35523,35524,218A0270,Tilia cordata,2019-07-07 04:00:00,0.0,,,1.0550031376254987
35524,35525,218A0270,Tilia cordata,2019-07-07 05:00:00,0.0,,,1.0600740944225164
35525,35526,218A0270,Tilia cordata,2019-07-07 06:00:00,0.0,,,1.4763641023424074
35526,35527,218A0270,Tilia cordata,2019-07-07 07:00:00,0.0,,,1.5052323991284051
35527,35528,218A0270,Tilia cordata,2019-07-07 08:00:00,0.0,,,1.509992854169673
35528,35529,218A0270,Tilia cordata,2019-07-07 09:00:00,4.0269399274563,0.823859174471585,0.625680225467823,1.2559606019298082
35529,35530,218A0270,Tilia cordata,2019-07-07 10:00:00,4.10755507640846,1.04428651679105,0.625680225467829,1.355512437451352
35530,35531,218A0270,Tilia cordata,2019-07-07 11:00:00,4.10755507640846,,,1.360363064660754
35531,35532,218A0270,Tilia cordata,2019-07-07 12:00:00,4.06787187870739,-1.99719764955615,0.491704459635782,1.2501335737059804
35532,35533,218A0270,Tilia cordata,2019-07-07 13:00:00,4.17728146414436,-1.39400467154056,0.491704459635784,1.2765611625098714
35533,35534,218A0270,Tilia cordata,2019-07-07 14:00:00,4.17728146414436,,,1.2814545800138188
35534,35535,218A0270,Tilia cordata,2019-07-07 15:00:00,4.12334699293789,-1.39400467154056,0.367558782561613,1.0070755807685317
35535,35536,218A0270,Tilia cordata,2019-07-07 16:00:00,4.11761102263547,-1.39400467154056,0.253827498062915,0.9580034931495152
35536,35537,218A0270,Tilia cordata,2019-07-07 17:00:00,4.11761102263547,,,0.96309842087685
