id;device;profile;timestamp_utc;Angle1;Angle2;Amplitude;Direction;
25162001;2650;9;2020-09-20 23:59:26.26;0;0;;;
25161995;2650;9;2020-09-20 23:59:24.24;;;0;4;
25161991;2650;9;2020-09-20 23:59:19.19;0;0;;;
25161916;2647;9;2020-09-20 23:57:45.45;;;0;4;
25161909;2647;9;2020-09-20 23:57:38.38;0;0;;;
25161488;2648;9;2020-09-20 23:51:54.54;0;0;;;
25161281;2648;9;2020-09-20 23:48:38.38;;;0;2;
25161270;2648;9;2020-09-20 23:48:33.33;0;0;;;
25161185;2649;9;2020-09-20 23:46:55.55;;;0;2;
25161140;2649;9;2020-09-20 23:46:16.16;0;0;;;
25160711;2649;9;2020-09-20 23:40:26.26;;;0;2;
25160701;2642;9;2020-09-20 23:40:23.23;;;0;4;
25160699;2649;9;2020-09-20 23:40:22.22;0;0;;;
25160689;2642;9;2020-09-20 23:40:16.16;-7,5;-15,5;;;
25160561;2646;9;2020-09-20 23:37:24.24;;;0;4;
25160556;2646;9;2020-09-20 23:37:22.22;0,5;0;;;
25160382;2644;9;2020-09-20 23:34:56.56;;;0;4;
25160376;2644;9;2020-09-20 23:34:50.50;0;-14,5;;;
25160131;2643;9;2020-09-20 23:32:13.13;;;0;4;
25160004;2651;9;2020-09-20 23:30:32.32;;;0;2;
25160002;2651;9;2020-09-20 23:30:29.29;-7;0;;;
25159954;2650;9;2020-09-20 23:29:50.50;;;0;4;
25159925;2650;9;2020-09-20 23:29:14.14;;;0;4;
25159920;2650;9;2020-09-20 23:29:10.10;0;0;;;
25159850;2647;9;2020-09-20 23:27:51.51;;;0;2;
25159838;2647;9;2020-09-20 23:27:45.45;0;0;;;
25159543;2648;9;2020-09-20 23:23:49.49;0;0;;;
25159337;2645;9;2020-09-20 23:20:39.39;;;0;4;
25159334;2645;9;2020-09-20 23:20:36.36;0,5;-15,5;;;
25159194;2648;9;2020-09-20 23:18:18.18;;;0;4;
25159190;2648;9;2020-09-20 23:18:13.13;0;0;;;
25159145;2649;9;2020-09-20 23:17:20.20;;;0;4;
25159046;2649;9;2020-09-20 23:15:55.55;0;0;;;
25158812;2649;9;2020-09-20 23:12:43.43;0;0;;;
25158694;2642;9;2020-09-20 23:11:13.13;;;0;4;
25158690;2642;9;2020-09-20 23:11:07.07;-7,5;-15,5;;;
25158650;2649;9;2020-09-20 23:10:27.27;;;0;4;
25158639;2649;9;2020-09-20 23:10:24.24;0;0;;;
25158560;2646;9;2020-09-20 23:08:48.48;;;0;2;
25158557;2646;9;2020-09-20 23:08:44.44;0,5;0;;;
25158388;2643;9;2020-09-20 23:06:00.00;;;0;4;
25158316;2643;9;2020-09-20 23:04:45.45;;;0;4;
25158285;2644;9;2020-09-20 23:04:31.31;;;0;4;
25158273;2644;9;2020-09-20 23:04:25.25;0;-14,5;;;
25158204;2643;9;2020-09-20 23:03:49.49;0;0;;;
25158050;2650;9;2020-09-20 23:01:36.36;0;0;;;
