index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,dinc,dinc_cum,growth_cum
41426,41427,218A0281,Acer platanoides,2019-07-06 13:00:00,,,,,,
41427,41428,218A0281,Acer platanoides,2019-07-06 14:00:00,,,,,,
41428,41429,218A0281,Acer platanoides,2019-07-06 15:00:00,,,,,,
41429,41430,218A0281,Acer platanoides,2019-07-06 16:00:00,,,,,,
41430,41431,218A0281,Acer platanoides,2019-07-06 17:00:00,,,,,,
41431,41432,218A0281,Acer platanoides,2019-07-06 18:00:00,,,,,,
41432,41433,218A0281,Acer platanoides,2019-07-06 19:00:00,,,,,,
41433,41434,218A0281,Acer platanoides,2019-07-06 20:00:00,,,,,,
41434,41435,218A0281,Acer platanoides,2019-07-06 21:00:00,,,,,,
41435,41436,218A0281,Acer platanoides,2019-07-06 22:00:00,,,,,,
41436,41437,218A0281,Acer platanoides,2019-07-06 23:00:00,,,,,,
41437,41438,218A0281,Acer platanoides,2019-07-07 00:00:00,,,,,,
41438,41439,218A0281,Acer platanoides,2019-07-07 01:00:00,,,,,,
41439,41440,218A0281,Acer platanoides,2019-07-07 02:00:00,,,,,,
41440,41441,218A0281,Acer platanoides,2019-07-07 03:00:00,,,,,,
41441,41442,218A0281,Acer platanoides,2019-07-07 04:00:00,,,,,,
41442,41443,218A0281,Acer platanoides,2019-07-07 05:00:00,,,,,,
41443,41444,218A0281,Acer platanoides,2019-07-07 06:00:00,,,,,,
41444,41445,218A0281,Acer platanoides,2019-07-07 07:00:00,,,,,,
41445,41446,218A0281,Acer platanoides,2019-07-07 08:00:00,,,,,,
41446,41447,218A0281,Acer platanoides,2019-07-07 09:00:00,,,,,,
41447,41448,218A0281,Acer platanoides,2019-07-07 10:00:00,,,,,,
41448,41449,218A0281,Acer platanoides,2019-07-07 11:00:00,,,,,,
41449,41450,218A0281,Acer platanoides,2019-07-07 12:00:00,,,,,,
41450,41451,218A0281,Acer platanoides,2019-07-07 13:00:00,,,,,,
41451,41452,218A0281,Acer platanoides,2019-07-07 14:00:00,,,,,,
41452,41453,218A0281,Acer platanoides,2019-07-07 15:00:00,,,,,,
41453,41454,218A0281,Acer platanoides,2019-07-07 16:00:00,,,,,,
41454,41455,218A0281,Acer platanoides,2019-07-07 17:00:00,,,,,,
41455,41456,218A0281,Acer platanoides,2019-07-07 18:00:00,,,,,,
41456,41457,218A0281,Acer platanoides,2019-07-07 19:00:00,,,,,,
41457,41458,218A0281,Acer platanoides,2019-07-07 20:00:00,,,,,,
41458,41459,218A0281,Acer platanoides,2019-07-07 21:00:00,,,,,,
41459,41460,218A0281,Acer platanoides,2019-07-07 22:00:00,5.03976086021078,0.509434054127923,1.61699713800636,-0.8613990952963899,-0.8613990952963899,0.0009697728730662845
41460,41461,218A0281,Acer platanoides,2019-07-07 23:00:00,,,,-0.8613990952963899,-1.7227981905927798,0.001939545746132569
41461,41462,218A0281,Acer platanoides,2019-07-08 00:00:00,4.48996969757837,,1.95770115783779,-1.4111902579288005,-3.1339884485215803,0.0035282797468385706
41462,41463,218A0281,Acer platanoides,2019-07-08 01:00:00,4.40521106203629,,1.95770115783779,-1.4959488934708798,-4.62993734199246,0.0052124359809270415
41463,41464,218A0281,Acer platanoides,2019-07-08 02:00:00,,,,-1.4959488934708798,-6.12588623546334,0.006896592215015513
41464,41465,218A0281,Acer platanoides,2019-07-08 03:00:00,4.44262814124194,-1.39400467154056,1.95770115783779,-1.4585318142652302,-7.58441804972857,0.008538623876880553
41465,41466,218A0281,Acer platanoides,2019-07-08 04:00:00,4.32585669481014,-1.39528530403083,1.00323666871829,-1.57530326069703,-9.1597213104256,0.010312118157776214
41466,41467,218A0281,Acer platanoides,2019-07-08 05:00:00,,,,-1.57530326069703,-10.73502457112263,0.012085612438671876
41467,41468,218A0281,Acer platanoides,2019-07-08 06:00:00,4.33505593517843,,1.95770115783778,-1.5661040203287397,-12.30112859145137,0.013848750110406122
41468,41469,218A0281,Acer platanoides,2019-07-08 07:00:00,4.29058647581285,4.31744266363838,3.08639999903876,-1.6105734796943203,-13.91170207114569,0.015661952003948983
41469,41470,218A0281,Acer platanoides,2019-07-08 08:00:00,,,,-1.6105734796943203,-15.52227555084001,0.01747515389749185
41470,41471,218A0281,Acer platanoides,2019-07-08 09:00:00,4.28176917645719,0.594661491761469,0.0,-1.6193907790499802,-17.14166632988999,0.01929828240667143
41471,41472,218A0281,Acer platanoides,2019-07-08 10:00:00,4.15735543779398,0.524305717743536,0.597331923979343,-1.7438045177131904,-18.88547084760318,0.02126147731416877
41472,41473,218A0281,Acer platanoides,2019-07-08 11:00:00,,,,-1.7438045177131904,-20.62927536531637,0.023224672221666107
41473,41474,218A0281,Acer platanoides,2019-07-08 12:00:00,4.08864529843159,,1.95770115783779,-1.81251465707558,-22.44179002239195,0.025265221783495096
41474,41475,218A0281,Acer platanoides,2019-07-08 13:00:00,4.10468331483963,0.0574272115541025,0.249665772289927,-1.7964766406675405,-24.23826666305949,0.027287715564519074
41475,41476,218A0281,Acer platanoides,2019-07-08 14:00:00,,,,-1.7964766406675405,-26.034743303727033,0.02931020934554305
41476,41477,218A0281,Acer platanoides,2019-07-08 15:00:00,4.43839496887089,0.0329636668034719,4.38779097997578,-1.4627649866362802,-27.497508290363314,0.03095700676088389
41477,41478,218A0281,Acer platanoides,2019-07-08 16:00:00,4.35533949977763,,2.50066404184699,-1.5458204557295403,-29.043328746092854,0.032697308965498655
41478,41479,218A0281,Acer platanoides,2019-07-08 17:00:00,,,,-1.5458204557295403,-30.589149201822394,0.034437611170113416
41479,41480,218A0281,Acer platanoides,2019-07-08 18:00:00,4.34027169037681,,1.95770115783779,-1.5608882651303597,-32.15003746695275,0.03619487688547858
41480,41481,218A0281,Acer platanoides,2019-07-08 19:00:00,4.45721702934347,,1.00323666871829,-1.4439429261637002,-33.59398039311645,0.03782048421162477
41481,41482,218A0281,Acer platanoides,2019-07-08 20:00:00,,,,-1.4439429261637002,-35.037923319280154,0.039446091537770955
41482,41483,218A0281,Acer platanoides,2019-07-08 21:00:00,4.5421727229959,,3.08639999903878,-1.3589872325112697,-36.39691055179142,0.04097605478027864
41483,41484,218A0281,Acer platanoides,2019-07-08 22:00:00,4.57772203072022,,3.71517489321851,-1.3234379247869503,-37.72034847657837,0.04246599620888429
41484,41485,218A0281,Acer platanoides,2019-07-08 23:00:00,,,,-1.3234379247869503,-39.043786401365324,0.04395593763748996
41485,41486,218A0281,Acer platanoides,2019-07-09 00:00:00,4.61966594916238,20.0905119983682,2.45029577715946,-1.28149400634479,-40.32528040771011,0.04539865812690792
41486,41487,218A0281,Acer platanoides,2019-07-09 01:00:00,4.7736246100732,-1.39400467154056,2.45029577715946,-1.1275353454339703,-41.45281575314408,0.046668050209388634
41487,41488,218A0281,Acer platanoides,2019-07-09 02:00:00,,,,-1.1275353454339703,-42.58035109857805,0.04793744229186935
41488,41489,218A0281,Acer platanoides,2019-07-09 03:00:00,4.80331309304086,,0.586039557654549,-1.0978468624663105,-43.67819796104436,0.0491734107434434
41489,41490,218A0281,Acer platanoides,2019-07-09 04:00:00,4.87375306115898,-1.39400467154056,2.45029577715948,-1.0274068943481902,-44.70560485539255,0.05033007707984967
41490,41491,218A0281,Acer platanoides,2019-07-09 05:00:00,,,,-1.0274068943481902,-45.73301174974074,0.05148674341625594
41491,41492,218A0281,Acer platanoides,2019-07-09 06:00:00,4.84135616501711,-1.39528530403083,1.91890402938921,-1.0598037904900597,-46.7928155402308,0.052679882545844235
41492,41493,218A0281,Acer platanoides,2019-07-09 07:00:00,4.84692149418103,2.64266416153429,0.586039557654549,-1.0542384613261397,-47.84705400155694,0.05386675616472754
41493,41494,218A0281,Acer platanoides,2019-07-09 08:00:00,,,,-1.0542384613261397,-48.90129246288308,0.05505362978361084
41494,41495,218A0281,Acer platanoides,2019-07-09 09:00:00,4.71756327479924,0.603105342895196,0.0,-1.1835966807079297,-50.084889143591006,0.05638613635329432
41495,41496,218A0281,Acer platanoides,2019-07-09 10:00:00,4.62634609624032,0.537790570810433,1.91890402938921,-1.2748138592668505,-51.359703002857856,0.05782133625735337
41496,41497,218A0281,Acer platanoides,2019-07-09 11:00:00,,,,-1.2748138592668505,-52.634516862124705,0.059256536161412424
41497,41498,218A0281,Acer platanoides,2019-07-09 12:00:00,4.56615125458168,,0.983975003257083,-1.3350087009254903,-53.9695255630502,0.06075950410105199
41498,41499,218A0281,Acer platanoides,2019-07-09 13:00:00,,,,-1.3350087009254903,-55.30453426397569,0.062262472040691554
41499,41500,218A0281,Acer platanoides,2019-07-09 14:00:00,,,,-1.3350087009254903,-56.63954296490118,0.06376543998033113
41500,41501,218A0281,Acer platanoides,2019-07-09 15:00:00,4.53485901819841,0.0348262281640908,0.983975003257083,-1.3663009373087602,-58.00584390220994,0.06530363707466538
41501,41502,218A0281,Acer platanoides,2019-07-09 16:00:00,4.5389521009224,-0.00708776728503403,1.42956195642883,-1.3622078545847698,-59.368051756794706,0.06683722613003767
41502,41503,218A0281,Acer platanoides,2019-07-09 17:00:00,,,,-1.3622078545847698,-60.73025961137947,0.06837081518540995
41503,41504,218A0281,Acer platanoides,2019-07-09 18:00:00,4.38585298072381,-0.0697198002773268,2.45029577715948,-1.5153069747833605,-62.24556658616284,0.07007676496703519
41504,41505,218A0281,Acer platanoides,2019-07-09 19:00:00,4.48582141004359,0.277521654505291,0.983975003257066,-1.4153385454635803,-63.66090513162642,0.07167016915690538
41505,41506,218A0281,Acer platanoides,2019-07-09 20:00:00,,,,-1.4153385454635803,-65.07624367709,0.07326357334677559
41506,41507,218A0281,Acer platanoides,2019-07-09 21:00:00,4.48553491312791,,3.02319977978189,-1.4156250423792605,-66.49186871946927,0.07485730007812345
41507,41508,218A0281,Acer platanoides,2019-07-09 22:00:00,4.6611365002091,0.243961517428479,0.983975003257083,-1.2400234552980702,-67.73189217476734,0.07625333255073735
41508,41509,218A0281,Acer platanoides,2019-07-09 23:00:00,,,,-1.2400234552980702,-68.97191563006541,0.07764936502335125
41509,41510,218A0281,Acer platanoides,2019-07-10 00:00:00,4.86220430898614,-2.60998023996446,1.02319272599083,-1.0389556465210301,-70.01087127658644,0.078819033075961
41510,41511,218A0281,Acer platanoides,2019-07-10 01:00:00,4.79960417247799,,1.02319272599083,-1.1015557830291804,-71.11242705961563,0.08005917707237817
41511,41512,218A0281,Acer platanoides,2019-07-10 02:00:00,,,,-1.1015557830291804,-72.21398284264481,0.08129932106879534
41512,41513,218A0281,Acer platanoides,2019-07-10 03:00:00,4.78355048557806,-1.39400467154056,1.99794365060791,-1.1176094699291097,-73.33159231257392,0.08255753848803504
41513,41514,218A0281,Acer platanoides,2019-07-10 04:00:00,4.87634687883781,-1.39400467154056,2.55294061211845,-1.0248130766693597,-74.35640538924328,0.0837112846750746
41514,41515,218A0281,Acer platanoides,2019-07-10 05:00:00,,,,-1.0248130766693597,-75.38121846591264,0.08486503086211418
