21880217;0001;45;1591349400;258;257;27241;41497;17;69;230;0;0;0;0;0;0;259;451;14619
21880217;0002;46;1591349400;22;2;28;8;41;60;39;7;92;56;72;4;;;;
21880217;0003;45;1591353000;234;232;49616;41604;17;70;210;1050;0;417;0;3878;0;239;440;14721
21880217;0004;46;1591353000;0;0;1;1;2;1;11;0;3;2;15;2;;;;
21880217;0005;45;1591356600;219;215;30104;41654;17;70;192;13850;16300;16380;23302;11105;16689;220;397;14783
21880217;0006;46;1591356600;0;0;0;0;0;0;0;0;1;1;0;0;;;;
21880217;0007;45;1591360200;220;218;63471;41733;17;71;183;662;0;81;0;3990;0;225;412;14866
21880217;0008;46;1591360200;1;0;0;0;0;0;3;1;2;1;2;1;;;;
21880217;0009;45;1591363800;222;220;60318;41733;17;71;184;922;0;370;0;3921;0;230;436;14848
21880217;000a;46;1591363800;1;0;0;0;0;0;3;1;2;1;1;2;;;;
21880217;000b;45;1591367400;228;227;57173;41733;17;71;191;18465;15203;15665;16411;-32664;16443;233;439;14782
21880217;000c;46;1591367400;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;000d;45;1591371000;194;199;37876;41837;17;70;181;3729;0;1510;0;470;0;188;349;14975
21880217;000e;46;1591371000;10;13;37;76;94;107;7;11;5;7;5;10;;;;
21880217;000f;45;1591374600;175;176;43511;41861;17;72;144;15921;17109;17083;2470;24130;16601;172;240;12414
21880217;0010;46;1591374600;205;667;537;1134;1081;1142;684;1315;542;780;353;473;;;;
21880217;0011;45;1591378200;171;172;43520;41945;17;72;138;-4008;0;72;0;-981;0;169;236;12479
21880217;0012;46;1591378200;22;67;89;164;159;152;93;150;68;84;40;54;;;;
21880217;0013;45;1591381800;167;168;43406;41988;17;72;132;-25491;17175;17182;50676;-11475;17081;164;233;12560
21880217;0014;46;1591381800;0;0;1;1;1;1;0;0;0;0;0;0;;;;
21880217;0015;45;1591385400;163;165;43507;41989;17;72;129;-4008;0;82;0;-982;0;161;231;12692
21880217;0016;46;1591385400;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;0017;45;1591389000;156;158;43012;42031;17;72;121;0;14948;0;0;-25318;0;154;227;12317
21880217;0018;46;1591389000;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;0019;45;1591392600;152;154;43732;42116;17;72;117;-4008;0;86;0;-982;0;151;224;12112
21880217;001a;46;1591392600;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;001b;45;1591396200;149;150;43769;42116;17;72;111;11208;0;15163;0;0;0;148;221;11948
21880217;001c;46;1591396200;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;001d;45;1591399800;149;150;43770;42117;17;72;114;-4009;0;85;0;-982;0;148;221;11938
21880217;001e;46;1591399800;0;0;0;0;0;0;0;0;0;0;0;0;;;;
21880217;001f;45;1591403400;150;152;43799;42118;17;72;118;-4009;0;86;0;-982;0;149;221;11985
21880217;0020;46;1591403400;1;5;5;10;10;10;4;8;3;4;1;3;;;;
21880217;0021;45;1591407000;150;151;43786;42187;17;73;117;-4008;0;85;0;-982;0;149;222;11904
21880217;0022;46;1591407000;69;258;271;634;650;734;213;430;192;290;130;194;;;;
21880217;0023;45;1591410600;156;157;43778;42227;17;73;128;-4009;0;86;0;-981;0;155;229;11935
21880217;0024;46;1591410600;202;736;621;1464;1336;1438;504;1113;537;853;354;495;;;;
21880217;0025;45;1591414200;165;166;43773;42195;17;73;138;-1660;17587;17574;58511;-12355;17403;165;236;12209
21880217;0026;46;1591414200;839;2855;2020;4559;4229;4596;2138;4449;1977;3349;1508;2406;;;;
21880217;0027;45;1591417800;172;173;43750;42229;17;74;150;-4008;0;86;0;-980;0;173;242;12426
21880217;0028;46;1591417800;1265;4285;3002;6713;6106;6554;3050;6512;2965;5031;2228;3460;;;;
21880217;0029;45;1591421400;181;181;43785;42239;17;74;160;-4008;0;85;0;-979;0;180;248;12841
21880217;002a;46;1591421400;1211;4275;3138;7348;6588;7091;2814;6366;3004;4987;2081;2964;;;;
21880217;002b;45;1591425000;188;188;43962;42243;17;74;171;-4008;0;80;0;-979;0;187;252;13154
21880217;002c;46;1591425000;1107;3713;3097;7559;6949;7542;2655;5703;2783;4551;1970;2690;;;;
21880217;002d;45;1591428600;196;196;44350;42243;17;74;182;-4008;0;81;0;-978;0;197;262;13398
21880217;002e;46;1591428600;2511;8429;5802;13590;12111;12949;5657;12678;5979;10012;4293;5664;;;;
21880217;002f;45;1591432200;209;210;44412;42241;17;74;199;-4008;0;82;0;-978;0;209;272;13508
21880217;0030;46;1591432200;3052;7558;7085;15877;15574;16439;7230;12610;6988;10311;5554;6204;;;;
21880217;0031;45;1591435800;217;217;44413;42243;17;74;209;22817;18048;18035;60612;28297;17889;219;281;13614
21880217;0032;46;1591435800;5186;14455;10363;21166;19323;20153;10286;24085;11710;18111;7995;9334;;;;
21880217;0033;45;1591439400;225;226;44664;42243;17;74;219;-4008;0;80;0;-980;0;226;291;13619
21880217;0034;46;1591439400;3450;9984;7978;16853;15374;16111;6998;15554;8365;12542;5680;6242;;;;
21880217;0035;45;1591443000;232;234;45094;42244;17;74;229;-4007;0;65;0;-984;0;233;299;13699
21880217;0036;46;1591443000;2902;4855;9250;16435;17908;17952;6244;10983;7625;9348;4916;4906;;;;
21880217;0037;45;1591446600;236;237;45079;42244;17;74;226;-6384;18060;18059;7397;16346;17859;237;304;13639
21880217;0038;46;1591446600;2583;7880;7288;14687;14065;14958;5562;13282;6495;9860;4239;5286;;;;
