дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
25.06.2020 00:00:06 25.06.2020_03:00:06 014.33 004.61 017.56 014.25 025.67 014.25 020.72 052 1002.71 1025.85 1 01.30 00.00 000 00.00 04.30 01.10 128 ///// /// ///// ///// ///// /// 014.57 011.80 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.486120 
25.06.2020 00:01:05 25.06.2020_03:01:05 014.32 004.60 017.56 014.25 025.67 014.25 020.72 052 1002.72 1025.87 1 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.56 011.79 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.479130 
25.06.2020 00:02:05 25.06.2020_03:02:05 014.30 004.64 017.56 014.25 025.67 014.25 020.72 052 1002.73 1025.88 1 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.55 011.78 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.503056 
25.06.2020 00:03:05 25.06.2020_03:03:05 014.28 004.69 017.56 014.25 025.67 014.25 020.72 052 1002.74 1025.89 1 01.30 00.00 000 00.00 04.30 00.84 083 ///// /// ///// ///// ///// /// 014.54 011.77 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.528627 
25.06.2020 00:04:05 25.06.2020_03:04:05 014.24 004.71 017.56 014.25 025.67 014.25 020.72 052 1002.75 1025.90 1 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.53 011.76 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.542937 
25.06.2020 00:05:05 25.06.2020_03:05:05 014.20 004.73 017.56 014.25 025.67 014.25 020.72 052 1002.76 1025.92 1 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.52 011.74 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.554091 
25.06.2020 00:06:05 25.06.2020_03:06:05 014.16 004.73 017.56 014.25 025.67 014.25 020.72 053 1002.78 1025.94 1 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.51 011.73 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.557934 
25.06.2020 00:07:05 25.06.2020_03:07:05 014.13 004.70 017.56 014.25 025.67 014.25 020.72 053 1002.80 1025.96 2 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.50 011.72 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.539674 
25.06.2020 00:08:05 25.06.2020_03:08:05 014.10 004.79 017.56 014.25 025.67 014.25 020.72 053 1002.82 1025.99 2 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.48 011.70 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.589149 
25.06.2020 00:09:05 25.06.2020_03:09:05 014.07 004.84 017.56 014.25 025.67 014.25 020.72 053 1002.84 1026.01 2 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.47 011.69 033.06 014.57 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 017.16 014.57 8.620326 
25.06.2020 00:10:05 25.06.2020_03:10:05 014.04 004.86 017.56 014.04 025.67 014.04 020.72 053 1002.85 1026.02 2 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.46 011.68 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.631549 
25.06.2020 00:11:05 25.06.2020_03:11:05 014.00 004.87 017.56 014.04 025.67 014.04 020.72 054 1002.86 1026.03 2 01.30 00.00 000 00.00 04.30 00.00 000 ///// /// ///// ///// ///// /// 014.45 011.67 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.640790 
25.06.2020 00:12:05 25.06.2020_03:12:05 013.96 004.85 017.56 014.04 025.67 014.04 020.72 054 1002.87 1026.05 2 01.30 00.00 000 00.00 04.30 00.65 102 ///// /// ///// ///// ///// /// 014.44 011.66 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.627518 
25.06.2020 00:13:05 25.06.2020_03:13:05 013.93 004.81 017.56 014.04 025.67 014.04 020.72 054 1002.88 1026.06 2 01.30 00.00 000 00.00 03.84 00.68 095 ///// /// ///// ///// ///// /// 014.43 011.65 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.601420 
25.06.2020 00:14:05 25.06.2020_03:14:05 013.90 004.84 017.56 014.04 025.67 014.04 020.72 054 1002.89 1026.07 2 01.30 00.00 000 00.00 03.84 00.00 000 ///// /// ///// ///// ///// /// 014.42 011.64 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.620314 
25.06.2020 00:15:05 25.06.2020_03:15:05 013.87 004.84 017.56 014.04 025.67 014.04 020.72 054 1002.90 1026.09 2 01.30 00.00 000 00.00 03.84 00.00 000 ///// /// ///// ///// ///// /// 014.41 011.63 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.623586 
25.06.2020 00:16:05 25.06.2020_03:16:05 013.84 004.84 017.56 014.04 025.67 014.04 020.72 054 1002.90 1026.09 2 01.30 00.00 000 00.00 03.84 00.50 123 ///// /// ///// ///// ///// /// 014.40 011.62 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.619559 
25.06.2020 00:17:05 25.06.2020_03:17:05 013.81 004.81 017.56 014.04 025.67 014.04 020.72 054 1002.90 1026.09 2 01.30 00.00 000 00.00 03.84 00.00 000 ///// /// ///// ///// ///// /// 014.39 011.61 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.603653 
25.06.2020 00:18:05 25.06.2020_03:18:05 013.79 004.72 017.56 014.04 025.67 014.04 020.72 054 1002.90 1026.09 2 01.20 00.00 000 00.00 03.45 00.00 000 ///// /// ///// ///// ///// /// 014.38 011.60 033.06 014.46 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.97 014.46 8.546389 
