дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
11.03.2019 00:00:05 11.03.2019_03:00:05 001.52 000.29 002.17 001.40 005.97 001.40 002.95 091 0969.87 0993.33 7 -1.70 02.80 196 05.89 05.89 02.10 219 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.241394 
11.03.2019 00:01:05 11.03.2019_03:01:05 001.51 000.27 002.17 001.40 005.97 001.40 002.95 091 0969.86 0993.32 7 -1.70 02.78 198 05.89 05.89 01.87 195 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.231202 
11.03.2019 00:02:05 11.03.2019_03:02:05 001.51 000.24 002.17 001.40 005.97 001.40 002.95 091 0969.85 0993.31 7 -1.70 02.62 199 05.89 05.89 01.07 216 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.220459 
11.03.2019 00:03:05 11.03.2019_03:03:05 001.51 000.22 002.17 001.40 005.97 001.40 002.95 091 0969.84 0993.30 7 -1.70 02.56 201 05.89 05.89 01.30 208 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.211983 
11.03.2019 00:04:05 11.03.2019_03:04:05 001.50 000.21 002.17 001.40 005.97 001.40 002.95 091 0969.83 0993.29 7 -1.70 02.57 204 05.89 05.89 02.32 219 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.205415 
11.03.2019 00:05:05 11.03.2019_03:05:05 001.50 000.20 002.17 001.40 005.97 001.40 002.95 091 0969.82 0993.28 7 -1.70 02.53 205 05.89 05.89 01.60 189 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.199593 
11.03.2019 00:06:05 11.03.2019_03:06:05 001.50 000.19 002.17 001.40 005.97 001.40 002.95 090 0969.81 0993.27 7 -1.70 02.42 201 05.89 05.89 01.28 107 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.194740 
11.03.2019 00:07:05 11.03.2019_03:07:05 001.50 000.16 002.17 001.40 005.97 001.40 002.95 090 0969.79 0993.25 7 -1.70 02.31 200 05.89 05.89 01.69 230 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.184888 
11.03.2019 00:08:05 11.03.2019_03:08:05 001.50 000.14 002.17 001.40 005.97 001.40 002.95 090 0969.78 0993.24 7 -1.70 02.23 201 05.89 05.89 02.86 199 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.174305 
11.03.2019 00:09:05 11.03.2019_03:09:05 001.49 000.12 002.17 001.40 005.97 001.40 002.95 090 0969.77 0993.23 7 -1.70 02.16 200 04.87 05.89 04.67 201 ///// /// ///// ///// ///// /// 000.11 -00.14 000.11 000.10 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.11 000.10 6.165275 
