дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
21.01.2020 00:00:05 21.01.2020_03:00:05 001.15 -01.97 001.53 001.15 002.25 001.15 001.55 079 0993.97 1018.06 8 -2.50 03.08 264 09.77 10.01 02.68 267 ///// /// ///// ///// ///// /// 000.53 -00.10 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.292051 
21.01.2020 00:01:04 21.01.2020_03:01:04 001.15 -01.97 001.53 001.15 002.25 001.15 001.55 079 0993.96 1018.05 8 -2.50 02.87 264 09.77 10.01 01.37 267 ///// /// ///// ///// ///// /// 000.53 -00.10 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.293048 
21.01.2020 00:02:04 21.01.2020_03:02:04 001.15 -01.97 001.53 001.15 002.25 001.15 001.55 079 0993.95 1018.04 8 -2.50 02.71 264 09.77 10.01 03.04 291 ///// /// ///// ///// ///// /// 000.53 -00.10 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.293974 
21.01.2020 00:03:04 21.01.2020_03:03:04 001.15 -01.96 001.53 001.15 002.25 001.15 001.55 079 0993.94 1018.02 8 -2.50 02.70 264 09.77 10.01 00.79 049 ///// /// ///// ///// ///// /// 000.52 -00.10 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.295263 
21.01.2020 00:04:04 21.01.2020_03:04:04 001.14 -01.96 001.53 001.15 002.25 001.15 001.55 079 0993.93 1018.01 8 -2.50 02.89 267 09.77 10.01 02.01 310 ///// /// ///// ///// ///// /// 000.52 -00.10 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.295854 
21.01.2020 00:05:04 21.01.2020_03:05:04 001.14 -01.96 001.53 001.15 002.25 001.15 001.55 079 0993.91 1017.99 8 -2.60 02.55 270 07.96 10.01 03.98 271 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.297155 
21.01.2020 00:06:04 21.01.2020_03:06:04 001.13 -01.96 001.53 001.15 002.25 001.15 001.55 079 0993.90 1017.99 8 -2.60 02.69 271 07.96 10.01 05.97 285 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.298444 
21.01.2020 00:07:04 21.01.2020_03:07:04 001.12 -01.95 001.53 001.15 002.25 001.15 001.55 079 0993.89 1017.98 8 -2.60 02.81 280 07.96 10.01 03.91 342 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.301446 
21.01.2020 00:08:04 21.01.2020_03:08:04 001.11 -01.94 001.53 001.15 002.25 001.15 001.55 080 0993.89 1017.98 8 -2.60 02.64 286 07.96 10.01 02.81 298 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.303087 
21.01.2020 00:09:04 21.01.2020_03:09:04 001.11 -01.93 001.53 001.15 002.25 001.15 001.55 080 0993.89 1017.98 8 -2.60 02.55 292 07.96 10.01 03.44 316 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.307153 
21.01.2020 00:10:04 21.01.2020_03:10:04 001.10 -01.92 001.53 001.10 002.25 001.10 001.55 080 0993.89 1017.98 8 -2.60 02.67 298 07.96 10.01 04.95 304 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.311639 
21.01.2020 00:11:04 21.01.2020_03:11:04 001.09 -01.91 001.53 001.10 002.25 001.10 001.55 080 0993.90 1017.99 8 -2.50 02.79 302 07.96 10.01 01.02 320 ///// /// ///// ///// ///// /// 000.52 -00.11 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.316815 
21.01.2020 00:12:04 21.01.2020_03:12:04 001.08 -01.90 001.53 001.10 002.25 001.10 001.55 080 0993.90 1017.99 8 -2.50 02.87 304 07.96 10.01 03.77 285 ///// /// ///// ///// ///// /// 000.52 -00.12 000.54 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.321808 
