дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
20.01.2020 00:00:04 20.01.2020_03:00:04 000.80 -01.43 000.89 000.66 000.89 -00.89 -00.37 085 1002.76 1027.09 6 -0.30 03.89 308 08.61 08.71 03.59 310 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.507544 
20.01.2020 00:01:04 20.01.2020_03:01:04 000.80 -01.43 000.89 000.66 000.89 -00.89 -00.37 085 1002.76 1027.09 6 -0.30 03.79 307 08.61 08.71 04.53 313 ///// /// ///// ///// ///// /// 000.53 -00.29 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.508498 
20.01.2020 00:02:04 20.01.2020_03:02:04 000.79 -01.42 000.89 000.66 000.89 -00.89 -00.37 085 1002.77 1027.10 5 -0.30 03.85 306 09.27 09.27 04.15 307 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.509248 
20.01.2020 00:03:04 20.01.2020_03:03:04 000.79 -01.42 000.89 000.66 000.89 -00.89 -00.37 085 1002.77 1027.10 5 -0.30 03.98 306 09.27 09.27 02.57 266 ///// /// ///// ///// ///// /// 000.53 -00.29 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.509862 
20.01.2020 00:04:04 20.01.2020_03:04:04 000.78 -01.42 000.89 000.66 000.89 -00.89 -00.37 085 1002.77 1027.10 5 -0.30 03.91 305 09.27 09.27 03.23 294 ///// /// ///// ///// ///// /// 000.53 -00.29 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.510060 
20.01.2020 00:05:04 20.01.2020_03:05:04 000.78 -01.42 000.89 000.66 000.89 -00.89 -00.37 085 1002.76 1027.09 5 -0.30 03.73 304 09.27 09.27 05.36 281 ///// /// ///// ///// ///// /// 000.53 -00.29 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.511306 
20.01.2020 00:06:04 20.01.2020_03:06:04 000.78 -01.42 000.89 000.66 000.89 -00.89 -00.37 085 1002.75 1027.08 5 -0.30 03.83 302 09.27 09.27 04.44 294 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.512860 
20.01.2020 00:07:04 20.01.2020_03:07:04 000.78 -01.41 000.89 000.66 000.89 -00.89 -00.37 085 1002.74 1027.07 5 -0.40 03.63 302 09.27 09.27 02.08 300 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.514072 
20.01.2020 00:08:04 20.01.2020_03:08:04 000.78 -01.41 000.89 000.66 000.89 -00.89 -00.37 085 1002.73 1027.06 5 -0.40 03.57 300 09.27 09.27 04.15 290 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.516355 
20.01.2020 00:09:04 20.01.2020_03:09:04 000.77 -01.40 000.89 000.66 000.89 -00.89 -00.37 085 1002.73 1027.06 5 -0.40 03.57 300 09.27 09.27 03.62 308 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.518837 
20.01.2020 00:10:04 20.01.2020_03:10:04 000.77 -01.39 000.89 000.66 000.89 -00.89 -00.36 085 1002.73 1027.06 5 -0.40 03.28 298 09.27 09.27 01.53 270 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.522123 
20.01.2020 00:11:04 20.01.2020_03:11:04 000.77 -01.38 000.89 000.66 000.89 -00.89 -00.36 085 1002.74 1027.07 5 -0.40 03.28 300 09.27 09.27 02.09 323 ///// /// ///// ///// ///// /// 000.53 -00.30 000.53 000.52 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 000.53 000.52 5.525380 
