Genum;zone;age_group;age_group_indexes;BCEF;BCEFs;BCEFb;BCEFr;BCEFf;BEF;R;C_V
Larix;Southern taiga;Immature;III;0.696;0.486;0.048;0.15;0.012;1.12345679;0.274725275;0.443604396;;;
Larix;Southern taiga;Mature;IV;0.754;0.504;0.053;0.185;0.011;1.126984127;0.325704225;0.499790493;;;
Pinus sibirica;Northern taiga;Young;I;0.834;0.414;0.136;0.191;0.093;1.553140097;0.297045101;0.540867807;;;
Pinus sibirica;Northern taiga;Middle-aged;II;0.663;0.426;0.074;0.135;0.029;1.241784038;0.255198488;0.416098299;;;
Pinus sibirica;Northern taiga;Immature;III;0.653;0.443;0.065;0.117;0.028;1.20993228;0.218283582;0.39776959;;;
Pinus sibirica;Northern taiga;Mature;IV;0.663;0.46;0.062;0.108;0.033;1.206521739;0.194594595;0.396008108;;;
Pinus sibirica;Middle taiga;Young;I;0.834;0.414;0.136;0.191;0.093;1.553140097;0.297045101;0.540867807;;;
Pinus sibirica;Middle taiga;Middle-aged;II;0.663;0.426;0.074;0.135;0.029;1.241784038;0.255198488;0.416098299;;;
Pinus sibirica;Middle taiga;Immature;III;0.653;0.443;0.065;0.117;0.028;1.20993228;0.218283582;0.39776959;;;
Pinus sibirica;Middle taiga;Mature;IV;0.663;0.46;0.062;0.108;0.033;1.206521739;0.194594595;0.396008108;;;
Pinus sibirica;Southern taiga;Young;I;0.834;0.414;0.136;0.191;0.093;1.553140097;0.297045101;0.540867807;;;
Pinus sibirica;Southern taiga;Middle-aged;II;0.663;0.426;0.074;0.135;0.029;1.241784038;0.255198488;0.416098299;;;
Pinus sibirica;Southern taiga;Immature;III;0.653;0.443;0.065;0.117;0.028;1.20993228;0.218283582;0.39776959;;;
Pinus sibirica;Southern taiga;Mature;IV;0.663;0.46;0.062;0.108;0.033;1.206521739;0.194594595;0.396008108;;;
Quercus;Northern taiga;Young;I;1.165;0.624;0.167;0.311;0.063;1.368589744;0.364168618;0.79462822;;;
Quercus;Northern taiga;Middle-aged;II;0.966;0.601;0.137;0.206;0.022;1.264559068;0.271052632;0.613918421;;;
Quercus;Northern taiga;Immature;III;0.967;0.603;0.142;0.204;0.018;1.265339967;0.267365662;0.612771298;;;
Quercus;Northern taiga;Mature;IV;0.989;0.612;0.15;0.212;0.017;1.272875817;0.272143774;0.629075096;;;
Quercus;Middle taiga;Young;I;1.165;0.624;0.167;0.311;0.063;1.368589744;0.364168618;0.79462822;;;
Quercus;Middle taiga;Middle-aged;II;0.966;0.601;0.137;0.206;0.022;1.264559068;0.271052632;0.613918421;;;
Quercus;Middle taiga;Immature;III;0.967;0.603;0.142;0.204;0.018;1.265339967;0.267365662;0.612771298;;;
Quercus;Middle taiga;Mature;IV;0.989;0.612;0.15;0.212;0.017;1.272875817;0.272143774;0.629075096;;;
