id;leaves_quality ;crown_density;dry branches;asimmetry);crown_codominance;wounds;cracks;cavities;fungi;trunk_inclination;curvature;trunk_codominance;pruning;trunk_rot;trunk_cavities;outgrowthing;insects;epicormic_shoots;superficial_roots;raised_roots;winding_roots;roots_damages;asphalt
0091;1;1;1;1;3;1;3;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1
0094;2;2;1;2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1
0097;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1
0105;1;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1
0132;2;3;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0166;2;1;1;1;1;1;3;1;1;1;1;3;1;1;3;2;1;1;1;1;1;1;1
0182;2;2;1;1;3;1;2;1;2;1;2;1;1;1;3;1;1;1;1;1;1;1;1
0197;2;2;1;2;1;1;1;1;1;1;2;1;2;1;3;2;1;1;1;1;1;1;1
0225;2;1;1;1;3;1;3;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1
0241;2;1;1;1;1;2;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0265;1;3;1;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0271;2;3;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
0272;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
0278;1;1;1;2;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1
0294;2;1;1;1;1;2;3;1;1;1;1;2;2;1;2;2;1;1;2;1;2;2;1
0081;1;1;1;1;1;1;3;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;2
0083;2;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0086;2;2;1;1;1;2;2;1;2;1;1;1;2;2;1;2;2;1;1;1;1;1;1
0089;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0117;1;2;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2
0152;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
0170;1;2;1;2;1;2;3;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1
0179;2;3;2;3;1;1;3;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1
0199;1;3;2;1;1;1;1;2;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1
0236;1;1;1;1;3;2;3;1;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1
0237;3;3;3;1;1;2;3;1;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1
0243;2;3;1;1;1;1;3;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1
0244;2;3;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1
0261;1;3;2;1;1;1;3;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1
0263;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0284;2;3;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1
0286;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
0292;2;1;1;1;2;2;3;1;1;1;1;3;2;2;1;2;1;1;1;1;1;1;1
0295;1;2;2;1;1;2;1;1;1;1;1;1;2;1;3;1;2;1;1;1;1;1;1
0296;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1
0060;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1
