id;Species;DBH;DTT;height;TTCloud;Site;d;age_group;VTAscore
218A0138;Larix decidua;128;113;3.85;C18A0024;Bolotnaya;40.74366543;6;2
218A0139;Populus tremula;80;72;3.5;C18A0031;RUDN;25.46479089;3;2
218A0140;Populus tremula;65;59;3.5;C18A0031;RUDN;20.6901426;3;3
218A0141;Tilia cordata;87;67;3.5;C18A0031;RUDN;27.6929601;4;3
218A0142;Acer platanoides;84;62;3.5;C18A0031;RUDN;26.73803044;6;1
218A0143;Quercus robur;195;155;3.5;NA;Timiryazev;62.07042781;6;2
218A0144;Salix alba;117;105;3.6;C21870015;Scherbinka;37.24225668;4;3
218A0145;Larix siberica;92.5;82;3.5;NA;Timiryazev;29.44366447;5;3
218A0146;Betula pendula;97;80;3.5;C18A0028;RUDN;30.87605896;6;2
218A0147;Acer platanoides;84;68;3.5;C18A0031;RUDN;26.73803044;6;2
218A0149;Picea abies;70.5;57;3.6;C18A0028;RUDN;22.44084698;4;2
218A0150;Tilia cordata;116;103;3.5;NA;Timiryazev;36.9239468;6;3
218A0151;Tilia cordata;87;70;3.5;C18A0031;RUDN;27.6929601;4;2
218A0152;Betula pendula;110;94;3.8;C18A0027;Troick;33;6;2
218A0153;Tilia cordata;111;97;3.75;C18A0024;Bolotnaya;35.33239737;4;2
218A0154;Acer platanoides;74;70;3.5;C18A0030;Timiryazev;23.55493158;4;2
218A0155;Acer platanoides;74;55;3.5;C18A0031;RUDN;23.55493158;4;2
218A0157;Acer fraxinifolium;98;94;3.16;C18A0023;School;31.19436885;6;3
218A0158;Larix siberica;88;67;3.45;NA;Timiryazev;28.01126998;5;4
218A0160;Acer fraxinifolium;80;87;3.25;C18A0023;School;25.46479089;6;3
218A0162;Salix alba;198;151;4;C21870015;Scherbinka;63.02535746;4;2
218A0163;Larix siberica;76;76;3.7;NA;Timiryazev;24.19155135;5;3
218A0165;Betula pendula;83;74;3.5;C18A0028;RUDN;26.41972055;6;1
218A0166;Acer platanoides;163;144;3.95;C18A0030;Botanical;51.88451145;6;3
218A0168;Betula pendula;95;71;3.5;C18A0028;RUDN;30.23943919;6;1
218A0170;Quercus robur;127;111;3.6;C18A0027;Troick;40.42535555;6;2
218A0171;Acer platanoides;82;74;3.5;C18A0031;RUDN;26.10141067;6;3
218A0172;Larix siberica;108;102;3.5;NA;Timiryazev;34.37746771;5;3
218A0173;Acer platanoides;76;62;3.5;C18A0031;RUDN;24.19155135;4;2
218A0174;Salix alba;175;138;3.55;C21870015;Scherbinka;55.70423008;4;2
218A0175;Picea abies;62;52;3.5;C18A0028;RUDN;19.73521294;4;2
218A0176;Tilia cordata;111;104;3.5;NA;Timiryazev;35.33239737;6;3
218A0177;Tilia cordata;142;128;3.6;NA;Timiryazev;45.20000384;6;2
218A0178;Acer platanoides;82;67;3.4;C18A0031;RUDN;26.10141067;6;1
218A0179;Quercus robur;145;131;3.6;C18A0027;Troick;46.1549335;6;3
218A0180;Acer platanoides;50;45;3.7;C18A0030;Timiryazev;15.91549431;3;2
218A0181;Larix siberica;161;153;3.5;NA;Timiryazev;51.24789168;5;3
218A0182;Salix  alba;232;189;4;NA;Botanical;73.84789359;6;3
218A0183;Larix siberica;91;89;3.5;NA;Timiryazev;28.96619964;5;3
218A0184;Salix alba;141;125;3.5;C21870015;Scherbinka;44.88169395;4;2
218A0185;Larix siberica;185;141;0.36;NA;Timiryazev;58.88732894;6;3
218A0186;Tilia cordata;127;109;3.6;C18A0024;Bolotnaya;40.42535555;6;3
218A0188;Betula pendula;84;69;3.5;C18A0028;RUDN;26.73803044;6;2
218A0189;Salix alba;88;78;3.47;C21870015;Scherbinka;28.01126998;3;2
218A0190;Acer fraxinifolium;124;121;3.93;C18A0023;School;39.47042589;6;3
218A0191;Acer fraxinifolium;90;80;4.05;C18A0023;School;28.64788976;6;3
218A0192;Picea abies;77;70;3.5;C18A0028;RUDN;24.50986124;5;1
218A0193;Acer  pseudoplatanus;150;151;3.66;C18A0024;Bolotnaya;47.74648293;6;1
218A0194;Salix alba;134;131;3.5;C21870015;Scherbinka;42.65352475;4;2
218A0195;Quercus robur;172;112;3.5;NA;Timiryazev;54.74930042;6;3
218A0196;Acer fraxinifolium;119;116;3.26;C18A0023;School;37.87887646;6;3
218A0197;Quercus rubra;212;160;4.5;NA;Botanical;67.48169587;6;3
218A0198;Picea abies;83;75;3.5;C18A0028;RUDN;26.41972055;6;2
218A0199;Picea abies;147;138;3.5;C18A0027;Troick;46.79155327;6;3
218A0200;Salix alba;120;103;3.6;C21870015;Scherbinka;38.19718634;4;2
218A0201;Acer fraxinifolium;69;79;3.96;C18A0023;School;21.96338215;6;3
218A0203;Larix siberica;88;84;3.5;NA;Timiryazev;28.01126998;5;2
218A0204;Quercus robur;165;147;3.5;NA;Timiryazev;52.52113122;6;3
218A0205;Acer fraxinifolium;150;121;3.43;C18A0023;School;47.74648293;6;3
218A0206;Picea abies;65;57;3.5;C18A0028;RUDN;20.6901426;4;2
218A0208;Larix siberica;103;97;3.5;NA;Timiryazev;32.78591828;5;2
218A0209;Tilia cordata;116;107;3.5;NA;Timiryazev;36.9239468;6;2
218A0210;Betula pendula;66;52;3.55;C18A0024;Bolotnaya;21.00845249;4;1
218A0211;Acer fraxinifolium;154;150;3.04;C18A0023;School;49.01972247;6;2
218A0212;Acer  pseudoplatanus;106;105;3.4;C18A0024;Bolotnaya;33.74084794;6;3
218A0213;Acer platanoides;51;46;3.5;C18A0030;Timiryazev;16.2338042;3;2
218A0214;Larix decidua;118;110;3.5;C18A0024;Bolotnaya;37.56056657;6;3
218A0215;Populus nigra;285;207;3.7;C18A0023;School;90.71831756;6;3
218A0216;Salix alba;157;139;3.57;C21870015;Scherbinka;49.97465213;4;2
218A0217;Acer platanoides;84;77;3.5;C18A0030;Timiryazev;26.73803044;6;3
218A0218;Quercus robur;108;96.5;3.9;NA;Timiryazev;34.37746771;6;3
218A0219;Acer platanoides;65;60;3.5;C18A0030;Timiryazev;20.6901426;4;3
218A0220;Picea abies;80;76;3.5;C18A0028;RUDN;25.46479089;5;1
218A0221;Betula pendula;69;66;3.5;C18A0028;RUDN;21.96338215;4;2
218A0222;Quercus robur;191;179;3.5;NA;Timiryazev;60.79718826;6;3
218A0223;Quercus robur;168;155;3.5;NA;Timiryazev;53.47606088;6;4
218A0224;Tilia cordata;92.5;64;3.7;C18A0031;RUDN;29.44366447;4;1
218A0225;Robinia pseudoacacia;120;108;3.7;NA;Botanical;38.19718634;4;2
218A0226;Quercus robur;121.5;116;3.5;NA;Timiryazev;38.67465117;6;4
218A0227;Salix alba;110;118;3.5;C21870015;Scherbinka;35.01408748;3;2
218A0230;Betula pendula;84;69;3.5;C18A0028;RUDN;26.73803044;6;1
218A0231;Quercus robur;129;121;3.6;?18?0029;Timiryazev;41.06197532;6;3
218A0232;Acer fraxinifolium;94;69;3.94;C18A0023;School;29.9211293;6;3
218A0233;Betula pendula;90;65;3.5;C18A0028;RUDN;28.64788976;6;1
218A0236;Tilia cordata;103;96;3.8;C18A0027;Troick;32.78591828;4;2
218A0237;Tilia cordata;98;89;3.55;C18A0027;Troick;31.19436885;4;4
218A0238;Picea abies;75;72;3.5;C18A0028;RUDN;23.87324146;4;2
218A0240;Betula pendula;106;83;3.5;C18A0028;RUDN;33.74084794;6;1
218A0241;Pyrus communis;96;80;3.65;NA;Botanical;30.55774907;6;2
218A0242;Salix alba;104;93;3.5;C21870015;Scherbinka;33.10422816;3;2
218A0243;Betula pendula;103;86;3.65;C18A0027;Troick;32.78591828;6;3
218A0244;Betula pendula;151;111;3.66;C18A0027;Troick;48.06479281;6;3
218A0245;Picea abies;64;54.5;3.5;C18A0028;RUDN;20.37183272;4;2
218A0246;Tilia cordata;125;116;3.5;NA;Timiryazev;39.78873577;6;2
218A0247;Larix siberica;179;171;3.5;NA;Timiryazev;56.97746963;6;3
218A0248;Tilia cordata;119;100;3.5;C18A0024;Bolotnaya;37.87887646;6;2
218A0249;Acer platanoides;59;52;3.5;C18A0030;Timiryazev;18.78028328;3;2
218A0250;Acer platanoides;52;48;3.5;C18A0030;Timiryazev;16.55211408;3;3
218A0251;Acer platanoides;67;63;3.6;C18A0030;Timiryazev;21.32676237;4;4
218A0252;Acer fraxinifolium;114;118;4;C18A0023;School;36.28732702;6;2
218A0253;Quercus robur;162;141;3.5;NA;Timiryazev;51.56620156;6;3
218A0254;Acer fraxinifolium;146;131;3.4;C18A0023;School;46.47324338;6;3
