"","id","leaves_quality","crown_density","crown_codominance","wounds","cracks","cavities","fungi","trunk_inclination","curvature","trunk_codominance","pruning","trunk_rot","trunk_cavities","outgrowthing","insects","epicormic_shoots","superficial_roots","raised_roots","winding_roots","roots_damages","asphalt","Species","Site","DBH"
"1","218A0001",1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,"Fraxinus","SCHOOL1234",87
"2","218A0056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTR","SCHOOL1234",0
"3","218A0057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTR","TROITSK",0
"4","218A0060",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"Tilia cordata","RUDN",82
"5","218A0061",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Acer platanoides","TIMIRYAZEV",95
"6","218A0062",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Betula pendula","RUDN",80
"7","218A0063",2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Quercus robur","TIMIRYAZEV",132
"8","218A0064",3,3,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,"Tilia cordata","RUDN",69
"9","218A0065",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Tilia cordata","TIMIRYAZEV",168
"10","218A0066",2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,"Fraxinus","SCHOOL1234",110
"11","218A0067",2,2,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,"Fraxinus","SCHOOL1234",113
"12","218A0068",3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"Larix siberica","GARDEN",137
"13","218A0069",1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,"Tilia cordata","RUDN",86.5
"14","218A0071",2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Acer platanoides","RUDN",93
"15","218A0073",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Tilia cordata","TIMIRYAZEV",153
"16","218A0074",1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Salix alba","SCHERBINKA",168
"17","218A0075",1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Larix siberica","TIMIRYAZEV",180
"18","218A0076",1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,"Salix alba","SCHERBINKA",146
"19","218A0077",1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,"Acer platanoides","BOLOTNAYA",112
"20","218A0079",2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,"Larix sibirica","BOLOTNAYA",101
"21","218A0079",3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"Larix sibirica","BOLOTNAYA",101
"22","218A0080",1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,"Tilia cordata","RUDN",76
"23","218A0081",1,1,1,1,3,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,"Quercus robur","TROITSK",169
"24","218A0082",1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Larix siberica","TIMIRYAZEV",105
"25","218A0083",2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Quercus robur","TROITSK",146
"26","218A0084",2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,"Tilia cordata","RUDN",63
"27","218A0085",2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,"Acer platanoides","RUDN",78
"28","218A0086",2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,"Quercus robur","TROITSK",145
"29","218A0087",1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"Tilia cordata","TIMIRYAZEV",129
"30","218A0088",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Betula pendula","BOLOTNAYA",65
"31","218A0089",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"Betula pendula","TROITSK",108
"32","218A0090",1,1,1,1,2,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,"Tilia cordata","RUDN",89
"33","218A0091",1,1,3,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,"Quercus robur","GARDEN",134
"34","218A0092",2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,"Fraxinus","SCHOOL1234",211
"35","218A0094",2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,"Juglans mandshurica","GARDEN",154
"36","218A0095",2,3,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,"Fraxinus","SCHOOL1234",114
"37","218A0096",2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Quercus robur","TIMIRYAZEV",166
"38","218A0098",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"Salix alba","SCHERBINKA",90
