дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
31.01.2019 00:00:06 31.01.2019_03:00:06 -01.01 -01.01 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.42 1014.61 7 -0.20 02.27 197 03.84 05.38 01.70 159 ///// /// ///// ///// ///// /// -00.32 -01.40 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.678584 
31.01.2019 00:01:05 31.01.2019_03:01:05 -01.01 -01.01 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.42 1014.61 7 -0.20 02.27 195 03.84 05.38 01.93 160 ///// /// ///// ///// ///// /// -00.32 -01.41 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.679995 
31.01.2019 00:02:05 31.01.2019_03:02:05 -01.00 -01.00 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.42 1014.61 7 -0.30 02.33 194 03.84 05.38 01.85 187 ///// /// ///// ///// ///// /// -00.32 -01.42 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.681877 
31.01.2019 00:03:05 31.01.2019_03:03:05 -01.00 -01.00 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.42 1014.61 7 -0.30 02.30 195 03.84 05.38 01.21 250 ///// /// ///// ///// ///// /// -00.32 -01.43 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.683468 
31.01.2019 00:04:05 31.01.2019_03:04:05 -01.00 -01.00 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.42 1014.61 7 -0.30 02.28 194 03.84 05.38 01.76 170 ///// /// ///// ///// ///// /// -00.32 -01.44 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.684947 
31.01.2019 00:05:05 31.01.2019_03:05:05 -00.99 -00.99 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.40 1014.59 7 -0.30 02.30 192 03.84 05.38 02.46 186 ///// /// ///// ///// ///// /// -00.32 -01.45 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.686224 
31.01.2019 00:06:05 31.01.2019_03:06:05 -00.99 -00.99 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.38 1014.56 7 -0.30 02.21 190 03.83 05.38 02.46 182 ///// /// ///// ///// ///// /// -00.32 -01.46 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.687502 
31.01.2019 00:07:05 31.01.2019_03:07:05 -00.99 -00.99 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.37 1014.55 7 -0.30 02.15 189 03.57 05.38 00.96 164 ///// /// ///// ///// ///// /// -00.32 -01.47 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.688915 
31.01.2019 00:08:05 31.01.2019_03:08:05 -00.98 -00.98 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.36 1014.54 7 -0.30 02.06 188 03.57 05.38 00.78 182 ///// /// ///// ///// ///// /// -00.32 -01.47 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.689923 
31.01.2019 00:09:05 31.01.2019_03:09:05 -00.98 -00.98 -01.01 -02.11 -01.01 -02.65 -02.61 100 0990.34 1014.52 7 -0.40 01.96 185 03.57 05.38 02.52 202 ///// /// ///// ///// ///// /// -00.32 -01.48 -00.31 -00.40 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.31 -00.34 5.690731 
