дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
15.01.2019 00:00:04 15.01.2019_03:00:04 -02.27 -04.69 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.07 0989.79 7 -0.30 03.13 192 07.38 10.16 06.00 188 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.323109 
15.01.2019 00:01:04 15.01.2019_03:01:04 -02.28 -04.68 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.07 0989.79 7 -0.30 03.35 192 07.38 10.16 03.63 154 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.325171 
15.01.2019 00:02:04 15.01.2019_03:02:04 -02.28 -04.67 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.07 0989.79 7 -0.30 03.39 194 07.38 10.16 03.31 217 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.327448 
15.01.2019 00:03:04 15.01.2019_03:03:04 -02.28 -04.67 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.06 0989.78 7 -0.30 03.36 196 07.38 10.16 01.87 184 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.329384 
15.01.2019 00:04:04 15.01.2019_03:04:04 -02.28 -04.66 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.06 0989.78 7 -0.30 03.52 194 07.38 10.16 05.09 209 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.330905 
15.01.2019 00:05:04 15.01.2019_03:05:04 -02.28 -04.66 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.06 0989.78 7 -0.30 03.59 197 07.38 10.16 04.52 208 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.332367 
15.01.2019 00:06:04 15.01.2019_03:06:04 -02.28 -04.65 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.05 0989.77 7 -0.30 03.73 197 07.38 10.16 02.82 196 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.333617 
15.01.2019 00:07:04 15.01.2019_03:07:04 -02.28 -04.65 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.05 0989.77 7 -0.30 03.92 196 07.38 10.16 02.82 177 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.334105 
15.01.2019 00:08:04 15.01.2019_03:08:04 -02.27 -04.65 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.05 0989.76 7 -0.30 03.96 194 07.38 10.16 03.55 201 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.335104 
15.01.2019 00:09:04 15.01.2019_03:09:04 -02.27 -04.65 -02.06 -02.29 -01.60 -02.29 -02.20 083 0966.05 0989.76 7 -0.30 03.91 194 07.38 10.16 03.75 190 ///// /// ///// ///// ///// /// -00.68 -02.18 -00.68 -00.86 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -00.68 -00.70 4.336286 
