дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
07.07.2019 00:00:05 07.07.2019_03:00:05 011.05 008.06 011.93 011.05 018.48 011.05 014.30 081 0977.82 1000.63 2 00.70 01.71 297 03.38 05.52 01.82 287 ///// /// ///// ///// ///// /// 012.03 010.27 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.756767 
07.07.2019 00:01:05 07.07.2019_03:01:05 011.04 008.06 011.93 011.05 018.48 011.05 014.30 081 0977.83 1000.64 2 00.70 01.62 297 03.38 05.52 01.76 278 ///// /// ///// ///// ///// /// 012.02 010.28 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.754414 
07.07.2019 00:02:05 07.07.2019_03:02:05 011.03 008.05 011.93 011.05 018.48 011.05 014.30 081 0977.84 1000.65 2 00.70 01.54 298 03.38 05.52 02.03 309 ///// /// ///// ///// ///// /// 012.01 010.28 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.754321 
07.07.2019 00:03:05 07.07.2019_03:03:05 011.02 008.06 011.93 011.05 018.48 011.05 014.30 081 0977.85 1000.66 2 00.70 01.49 294 03.38 05.52 00.61 327 ///// /// ///// ///// ///// /// 012.01 010.29 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.754477 
07.07.2019 00:04:05 07.07.2019_03:04:05 011.01 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.86 1000.68 2 00.70 01.56 294 04.05 05.52 03.17 317 ///// /// ///// ///// ///// /// 012.00 010.30 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.755904 
07.07.2019 00:05:05 07.07.2019_03:05:05 011.01 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.87 1000.69 2 00.70 01.70 292 04.63 05.52 00.78 257 ///// /// ///// ///// ///// /// 012.00 010.32 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.759590 
07.07.2019 00:06:05 07.07.2019_03:06:05 011.01 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.88 1000.70 2 00.70 01.89 293 04.63 05.52 03.82 294 ///// /// ///// ///// ///// /// 011.99 010.34 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.761064 
07.07.2019 00:07:05 07.07.2019_03:07:05 011.01 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.90 1000.72 2 00.80 02.11 294 04.63 05.52 02.75 333 ///// /// ///// ///// ///// /// 011.99 010.36 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.760136 
07.07.2019 00:08:05 07.07.2019_03:08:05 011.01 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.91 1000.73 2 00.80 02.04 296 04.63 05.52 01.14 281 ///// /// ///// ///// ///// /// 011.98 010.39 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.760658 
07.07.2019 00:09:05 07.07.2019_03:09:05 011.02 008.06 011.93 011.05 018.48 011.05 014.30 082 0977.93 1000.75 2 00.80 01.92 294 04.63 05.52 01.90 292 ///// /// ///// ///// ///// /// 011.98 010.42 025.47 012.03 0000.00 0000.00 0000.00 0000.00 0002.00 0005.50 00.00 00.00 00.00 00.00 ////// 013.18 012.03 10.761531 
