дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
10.07.2019 00:00:05 10.07.2019_03:00:05 013.37 008.87 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.43 299 03.02 04.97 01.07 322 ///// /// ///// ///// ///// /// 015.11 011.26 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.364542 
10.07.2019 00:01:04 10.07.2019_03:01:04 013.36 008.87 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.46 296 03.02 04.97 01.30 295 ///// /// ///// ///// ///// /// 015.10 011.24 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.361255 
10.07.2019 00:02:04 10.07.2019_03:02:04 013.35 008.86 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.50 297 03.02 04.97 02.21 305 ///// /// ///// ///// ///// /// 015.09 011.22 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.356429 
10.07.2019 00:03:04 10.07.2019_03:03:04 013.35 008.86 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.45 297 03.02 04.97 00.72 247 ///// /// ///// ///// ///// /// 015.07 011.20 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.353256 
10.07.2019 00:04:04 10.07.2019_03:04:04 013.34 008.85 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.47 297 03.02 04.97 01.35 307 ///// /// ///// ///// ///// /// 015.06 011.19 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.352414 
10.07.2019 00:05:04 10.07.2019_03:05:04 013.34 008.85 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.49 299 03.02 04.97 00.82 261 ///// /// ///// ///// ///// /// 015.05 011.17 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.350454 
10.07.2019 00:06:04 10.07.2019_03:06:04 013.34 008.84 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.54 303 03.70 04.97 02.19 310 ///// /// ///// ///// ///// /// 015.03 011.16 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.344512 
10.07.2019 00:07:04 10.07.2019_03:07:04 013.33 008.84 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.56 298 03.70 04.97 00.65 131 ///// /// ///// ///// ///// /// 015.02 011.15 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.342693 
10.07.2019 00:08:04 10.07.2019_03:08:04 013.32 008.84 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.53 293 03.70 04.97 00.79 287 ///// /// ///// ///// ///// /// 015.01 011.14 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.338514 
10.07.2019 00:09:04 10.07.2019_03:09:04 013.31 008.83 015.50 013.37 022.22 013.37 017.15 074 0976.00 0998.58 7 -1.00 01.43 295 03.70 04.97 00.96 324 ///// /// ///// ///// ///// /// 014.99 011.13 028.40 015.11 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// 016.47 015.11 11.332254 
